comentario,sentimento
esse juiz cara jogou mt ruim,Negativo
monstro voando brabo,Positivo
brabo esse juiz amassou jogou mt jogou mt,Positivo
a zaga oo ataque oo ataque slc,Positivo
a diretoria amassou fez velho lindo,Negativo
hj entregou bagre a zaga o time o time,Negativo
tava oo time,Negativo
tava tava oo jogoo a diretoria,Positivo
ne o tecnico mano meu deus ??,Negativo
voando entregou hoje pessimo pipocou podre,Negativo
bagre ne entregou a zaga,Negativo
entregou mano pqp a zaga o goleiro,Negativo
o tecnico meu deus brabo monstro rs,Positivo
a diretoria esse cara pessimo esse cara velho assim,Negativo
tava entregou craque kkkk,Negativo
mds meu deus kkkk,Negativo
ne aula,Positivo
entregou oo time!!!,Negativo
jogou mt pipocou nada esse juiz amassou ne...,Positivo
monstro tudo,Positivo
esse cara podre hoje esse cara!!!,Negativo
slc meu deus oo jogoo assim esse cara,Negativo
horrivel hoje,Negativo
o ataque meu deus tava ne,Positivo
o jogo amador hoje vergonha tava fez rs,Negativo
a zaga nada bagre horrivel,Negativo
horrivel o goleiro o goleiro pipocou vergonha,Negativo
o time ruim cara,Negativo
o ataque fez voando mano hj ne ??,Positivo
tudo a diretoria jogou mt mds o tecnico fez,Negativo
bagre cara amador pessimo nada nada,Negativo
aula gigante,Positivo
o ataque o ataque mds,Negativo
craque brabo,Positivo
horrivel esse juiz nada hoje tava fez,Negativo
a diretoria slc velho podre vergonha,Negativo
mds bagre monstro,Negativo
aula esse juiz ne,Negativo
amador o jogo o jogo o ataque tava craque kkkk,Positivo
entregou jogou mt esse cara...,Positivo
esse cara podre!!!,Positivo
o ataque meu deus entregou horrivel ne bagre,Negativo
amassou tudo a diretoria cara craque,Positivo
o tecnico ne ne craque o tecnico,Positivo
lindo mano nada o jogo,Negativo
amassou voando voando,Positivo
tava podre monstroo entregou hj oo goleiro ??,Positivo
slc esse cara,Positivo
voando o goleiro brabo brabo mano a diretoria kkkk,Positivo
esse juiz a diretoria brabo podre vergonha o jogo,Negativo
brabo o time fez o jogo,Positivo
gigante vergonha horrivel esse cara,Positivo
lixoo tudoo manoo pqp,Negativo
esse juiz voandoo amassou meu deus,Positivo
tava a zaga horrivel bagre bagre gigante,Negativo
pqp amassou amassou,Positivo
